month,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,wd,station,PM2.5
8,10,42.0,13.0,34.0,400.0,57.0,30.0,1005.6,6.6,0.0,1.7,N,Wanshouxigong,11.0
7,8,18.0,3.0,16.0,300.0,73.0,27.6,993.0,17.7,0.0,1.3,NE,Shunyi,16.0
3,0,41.0,2.0,7.0,100.0,70.0,0.8,1029.9,-24.6,0.0,2.6,NW,Guanyuan,9.0
9,13,22.0,5.0,31.0,500.0,17.0,17.4,1015.1,5.7,0.0,3.1,NW,Tiantan,3.0
1,2,66.0,23.0,39.0,1400.0,22.0,-9.4,1016.9,-15.7,0.0,0.8,W,Huairou,65.0
5,3,77.0,27.0,47.0,1000.0,62.0,14.3,1010.0,7.6,0.0,0.8,ENE,Aotizhongxin,40.0
9,20,40.0,2.0,17.0,500.0,74.0,21.7,1006.0,11.4,0.0,0.7,NNE,Dingling,28.0
2,23,244.0,14.0,110.0,3800.0,2.0,-1.7,1020.2,-6.8,0.0,1.3,NW,Changping,226.0
4,13,16.0,2.0,6.0,200.0,98.0,18.3,1017.8,-12.7,0.0,1.7,E,Shunyi,10.0
4,23,56.0,5.0,,600.0,12.0,7.5,1008.3,2.8,0.2,1.0,N,Wanliu,56.0
1,14,25.0,14.0,34.0,600.0,57.0,6.0,1019.8,-11.6,0.0,2.5,NE,Tiantan,23.0
3,8,204.0,25.0,48.0,1000.0,34.0,10.1,1001.0,0.4,0.0,1.0,NNW,Dingling,107.0
12,23,258.0,52.0,141.0,4300.0,11.0,-5.0,1026.0,-11.2,0.0,0.5,ESE,Tiantan,211.0
4,11,80.0,23.0,51.0,800.0,57.0,14.2,1008.8,-8.5,0.0,2.0,S,Changping,52.0
7,23,140.0,7.0,39.0,1500.0,173.0,28.3,1007.1,19.0,0.0,2.2,SSW,Wanshouxigong,83.0
12,5,14.0,5.0,43.0,600.0,27.0,-4.5,1023.8,-14.4,0.0,1.1,NE,Wanliu,14.0
5,11,22.0,10.0,75.0,500.0,65.0,33.1,995.3,7.8,0.0,2.7,WSW,Wanliu,22.0
4,1,359.0,7.0,61.0,2300.0,29.0,11.6,998.4,6.1,0.0,1.4,N,Dingling,213.0
12,14,35.0,6.0,27.0,500.0,51.0,2.9,1029.7,-16.8,0.0,2.3,WNW,Tiantan,12.0
4,8,61.0,4.0,31.0,500.0,45.0,9.0,1014.8,-1.4,0.0,1.1,ENE,Huairou,49.0
4,21,69.0,2.0,54.0,900.0,32.0,18.1,1007.9,6.9,0.0,1.7,WNW,Tiantan,56.0
4,8,206.0,11.0,79.0,700.0,12.0,14.0,1005.4,-1.2,0.0,1.5,E,Aotizhongxin,108.0
5,8,21.0,2.0,15.0,300.0,60.0,17.4,1003.3,-9.5,0.0,1.8,E,Huairou,10.0
8,20,45.0,3.0,8.0,500.0,66.0,24.2,996.8,21.3,0.0,0.6,NNE,Dingling,26.0
2,10,29.0,16.0,45.0,900.0,27.0,-2.5,1032.9,-19.0,0.0,1.8,NE,Wanshouxigong,19.0
4,15,72.0,2.0,25.0,400.0,102.0,23.3,1001.9,-10.1,0.0,3.9,SSW,Huairou,36.0
8,22,136.0,3.0,44.0,1100.0,76.0,27.5,996.7,20.8,0.0,1.1,E,Gucheng,111.0
12,16,186.0,36.0,77.0,1900.0,29.0,5.9,1020.2,-4.0,0.0,1.9,E,Dongsi,179.0
1,10,151.0,79.0,82.0,3300.0,2.0,-1.0,1026.0,-11.5,0.0,1.1,NE,Wanliu,109.0
8,10,198.0,8.0,95.0,1500.0,70.0,29.5,1002.3,21.5,0.0,0.6,NNE,Gucheng,96.0
6,7,46.0,2.0,51.0,600.0,14.0,21.6,996.4,15.9,0.0,1.0,NNW,Changping,22.0
4,11,109.0,37.0,32.0,1000.0,104.0,21.5,1007.2,0.6,0.0,3.5,E,Dongsi,45.0
2,2,9.0,4.0,9.0,100.0,68.0,-6.1,1027.1,-20.9,0.0,4.2,NNW,Dongsi,3.0
10,15,195.0,33.0,101.0,1500.0,19.0,15.9,1008.1,8.1,0.0,1.2,ESE,Tiantan,133.0
2,11,28.0,6.0,12.0,500.0,63.0,-5.0,1028.0,-28.5,0.0,2.9,ESE,Huairou,28.0
5,8,8.0,2.0,27.0,400.0,20.0,14.5,997.8,13.0,0.0,1.0,NNE,Huairou,8.0
7,14,11.0,2.0,10.0,300.0,130.0,32.1,999.4,17.6,0.0,1.1,SE,Shunyi,11.0
9,3,28.0,1.0,36.0,600.0,6.0,18.2,1013.9,15.1,0.0,0.8,NNE,Shunyi,23.0
2,12,43.0,,2.0,,2.0,2.8,1030.8,-17.4,0.0,1.7,SW,Shunyi,43.0
11,5,11.0,2.0,20.0,400.0,20.0,0.0,1009.0,-5.2,0.0,0.7,WNW,Huairou,11.0
5,3,27.0,2.0,25.0,300.0,60.0,19.9,1010.6,1.3,0.0,2.3,NNW,Guanyuan,6.0
10,8,32.0,2.0,41.0,600.0,19.0,9.0,1014.7,6.4,0.0,2.0,SW,Wanshouxigong,32.0
8,0,111.0,2.0,31.0,1300.0,52.0,26.8,998.8,24.1,0.0,0.5,E,Huairou,102.0
10,16,48.0,2.0,50.0,900.0,7.0,11.4,1017.5,8.6,0.0,0.2,,Gucheng,44.0
9,1,13.0,2.0,44.0,600.0,17.0,17.0,1012.3,7.6,0.0,3.4,NW,Wanshouxigong,13.0
1,1,194.0,45.0,87.0,4500.0,3.0,-3.35,1031.25,-11.8,0.0,1.0,NE,Dongsi,161.0
12,5,125.0,,70.0,800.0,7.0,3.6,1010.0,-17.3,0.0,3.2,NNW,Aotizhongxin,28.0
9,4,78.0,5.0,62.0,1100.0,2.0,14.9,1011.3,14.9,0.0,0.9,ENE,Aotizhongxin,78.0
7,5,76.0,3.0,57.0,700.0,6.0,24.2,1001.1,22.1,0.0,1.0,ESE,Tiantan,63.0
4,15,256.0,48.0,42.0,1200.0,212.0,25.2,1002.4,2.6,0.0,2.7,SSW,Gucheng,185.0
8,11,30.0,16.0,27.0,1200.0,125.0,31.0,998.0,24.2,0.0,1.3,W,Wanshouxigong,83.0
7,22,54.0,6.0,21.0,300.0,163.0,28.6,1002.9,13.3,0.0,1.9,ESE,Dingling,42.0
10,1,56.0,2.0,37.0,500.0,25.0,11.8,1012.5,4.5,0.0,1.2,NE,Changping,17.0
8,6,174.0,2.0,105.0,1200.0,10.0,24.2,1001.6,21.7,0.0,1.3,NE,Guanyuan,145.0
6,7,40.0,19.0,35.0,400.0,61.0,29.4,998.3,9.0,0.0,3.3,NE,Changping,12.0
4,19,144.0,19.0,30.0,600.0,108.0,12.2,1006.1,-4.5,0.0,1.7,SSE,Huairou,79.0
9,9,132.0,14.0,82.0,1400.0,10.0,25.7,1009.6,9.9,0.0,4.0,NNE,Tiantan,111.0
9,0,31.0,2.0,41.0,800.0,17.0,18.3,1015.4,17.0,0.8,1.6,ENE,Dongsi,31.0
3,22,60.0,9.0,57.0,800.0,30.0,2.2,1014.9,-3.7,0.0,2.5,SSE,Shunyi,49.0
9,1,69.0,2.0,80.0,500.0,2.0,19.4,994.6,14.4,0.0,0.0,SW,Wanliu,21.0
11,13,389.0,77.0,140.0,3800.0,5.0,6.0,1014.0,-1.6,0.0,1.7,E,Dongsi,255.0
1,2,203.0,60.0,70.0,3700.0,42.0,-1.975,1019.0,-4.5,0.0,3.3,NE,Aotizhongxin,203.0
11,12,112.0,2.0,43.0,1400.0,2.0,4.2,1022.7,3.3,0.2,1.4,ESE,Shunyi,112.0
7,13,46.0,17.9928,31.6162,,163.0062,30.7,1000.2,18.1,0.0,1.7,S,Dongsi,87.0
4,7,16.0,4.0,47.0,600.0,51.0,10.1,1004.4,0.9,0.0,1.1,E,Gucheng,16.0
12,16,277.0,22.0,139.0,3100.0,4.0,7.1,1019.6,-3.5,0.0,2.7,SW,Wanshouxigong,241.0
10,1,18.0,10.0,46.0,800.0,8.0,7.4,1018.1,5.7,0.0,1.3,NE,Nongzhanguan,56.0
4,13,174.0,11.0,50.0,600.0,74.0,22.8,998.4,-2.1,0.0,2.4,SSE,Changping,58.0
4,21,81.0,4.0,20.0,500.0,95.0,19.4,994.0,0.4,0.0,1.7,ENE,Dingling,39.0
11,7,87.0,5.0,59.0,2900.0,2.0,-0.8,1019.0,-0.8,0.0,0.0,N,Wanliu,75.0
6,6,192.0,23.0,87.0,1600.0,9.0,25.7,1002.4,16.8,0.0,2.1,N,Tiantan,114.0
3,19,7.0,2.0,22.0,300.0,69.0,8.5,1020.8,-20.4,0.0,2.5,NNW,Nongzhanguan,7.0
4,2,21.0,2.0,2.0,900.0,76.0,7.4,1009.0,-12.4,0.0,2.2,WNW,Huairou,3.0
11,14,6.0,2.0,9.0,200.0,57.0,12.5,1024.0,-7.6,0.0,3.9,NW,Wanliu,6.0
1,11,25.0,9.0,20.0,600.0,65.0,-8.8,1024.1,-27.8,0.0,4.4,NW,Tiantan,10.0
7,3,45.0,6.0,21.0,700.0,71.0,22.3,1000.8,10.1,0.0,2.2,E,Dingling,22.0
8,21,108.0,9.0,29.0,1000.0,133.0,30.1,1000.2,25.6,0.0,2.0,SSE,Dongsi,89.0
9,6,72.0,2.0,65.0,800.0,2.0,16.4,1009.4,13.3,0.0,0.9,ENE,Wanliu,35.0
7,23,84.0,5.0,34.0,600.0,78.0,32.1,997.2,23.4,0.0,2.3,SSW,Shunyi,55.0
4,15,131.0,15.0,14.0,600.0,190.0,26.8,1003.4,9.2,0.0,4.9,SSW,Gucheng,71.0
12,15,29.0,8.0,10.0,400.0,60.0,2.1,1032.0,-23.5,0.0,5.6,NNW,Aotizhongxin,6.0
7,7,52.0,2.0,6.0,400.0,29.0,21.5,996.7,19.6,0.0,1.2,NNW,Dingling,7.0
1,20,66.0,22.0,32.0,700.0,94.0,0.0,1029.3,-28.1,0.0,2.8,SSW,Aotizhongxin,64.0
10,17,88.0,2.0,15.0,900.0,3.0,11.2,1013.3,8.9,0.9,2.5,W,Dingling,41.0
8,10,89.0,5.0,33.0,,98.7462,30.7,995.3,21.8,0.0,0.2,SE,Aotizhongxin,107.0
8,6,27.0,2.0,33.0,500.0,12.0,20.8,1005.5,17.8,0.0,0.7,ENE,Wanliu,15.0
2,17,97.0,2.0,17.0,400.0,81.0,1.7,1025.6,-25.7,0.0,4.8,NNW,Tiantan,15.0
9,2,241.0,5.0,47.0,1600.0,35.0,13.9,1006.6,12.9,0.0,0.2,N,Gucheng,299.0
4,4,108.0,11.0,46.0,800.0,46.0,16.4,1006.7,10.5,0.0,1.5,S,Tiantan,97.0
1,10,74.0,52.0,51.0,800.0,20.0,0.2,1025.3,-8.3,0.0,3.7,S,Wanshouxigong,27.0
6,16,100.0,2.0,33.0,900.0,312.0,33.1,990.9,21.3,0.0,2.6,SSE,Dingling,86.0
11,14,300.0,23.0,88.0,3000.0,2.0,7.3,1003.5,2.8,0.0,1.5,ESE,Dingling,183.0
9,3,28.0,2.0,31.0,500.0,46.0,17.6,1013.1,16.6,0.0,0.3,SSE,Aotizhongxin,17.0
11,20,398.0,26.0,164.0,6600.0,6.0,-2.2,1021.3,-3.8,0.0,0.9,W,Wanliu,384.0
6,6,99.0,2.0,84.0,1000.0,14.0,21.2,1002.6,13.6,0.0,0.4,E,Shunyi,81.0
10,2,23.0,2.0,42.0,900.0,2.0,7.3,1023.4,6.2,0.0,1.2,NE,Shunyi,23.0
9,23,104.0,4.0,32.0,1000.0,115.0,19.4,1008.9,14.2,0.0,1.1,WNW,Changping,104.0
12,2,232.0,15.0,105.0,6600.0,4.0,-1.5,1024.9,-3.2,0.0,0.1,SE,Wanliu,231.0
8,22,114.0,13.0,32.0,2000.0,102.0,24.5,1003.2,18.9,0.0,1.7,SE,Aotizhongxin,59.0
6,19,32.0,2.0,27.0,200.0,77.0,27.4,996.7,12.6,0.0,1.1,NNW,Shunyi,18.0
11,12,28.0,11.0,28.0,500.0,51.0,10.0,1025.0,-12.0,0.0,2.7,ENE,Nongzhanguan,23.0
9,21,112.0,9.0,78.0,1800.0,31.0,20.5,1007.6,17.9,0.0,1.0,E,Dongsi,64.0
3,5,41.0,7.0,14.0,600.0,55.0,7.5,1008.4,-8.6,0.0,1.7,E,Dingling,29.0
12,14,8.0,2.0,13.0,300.0,74.0,6.2,1017.0,-14.6,0.0,2.2,ENE,Shunyi,8.0
4,7,207.0,8.0,91.0,1600.0,4.0,7.1,1017.2,5.6,0.0,0.9,ESE,Nongzhanguan,207.0
12,1,47.0,21.0,69.0,1100.0,,-3.9,1028.1,-18.2,0.0,1.7,N,Wanliu,37.0
3,20,38.0,2.0,9.0,200.0,71.0,8.6,1003.5,-14.4,0.0,3.6,N,Huairou,3.0
11,14,145.0,41.0,86.0,1300.0,18.0,13.7,1025.0,-8.3,0.0,1.6,SW,Wanshouxigong,38.0
2,10,91.0,,57.0,1800.0,13.0,-4.0,1029.0,-18.7,0.0,1.5,ENE,Dongsi,91.0
7,18,122.0,7.0,16.0,900.0,249.0,32.7,1004.3,18.9,0.0,2.1,S,Tiantan,121.0
4,19,152.0,13.0,27.0,900.0,220.0,24.6,1005.6,13.8,0.0,2.2,SSW,Tiantan,114.0
12,14,41.0,15.0,22.0,300.0,78.0,4.0,1030.0,-15.3,0.0,3.3,NNW,Nongzhanguan,17.0
12,13,36.0,14.0,21.0,600.0,44.0,14.9,1014.4,-10.0,0.0,2.0,NE,Wanshouxigong,25.0
7,10,39.0,2.0,44.0,900.0,35.0,21.3,1004.6,19.2,0.0,1.5,NNW,Wanshouxigong,39.0
4,23,250.0,21.0,142.0,2500.0,2.0,13.0,1002.0,8.9,0.0,0.6,WNW,Wanliu,214.0
6,19,109.0,7.0,76.0,1000.0,66.0,25.2,999.8,17.9,0.0,2.2,E,Nongzhanguan,70.0
11,1,131.0,3.0,57.0,1800.0,2.0,4.4,1013.7,1.2,0.0,0.2,NW,Gucheng,84.0
9,8,58.0,2.0,23.0,600.0,32.0,17.8,1006.0,13.1,0.0,1.0,NNW,Dingling,41.0
12,18,11.0,4.0,29.0,,29.0,-3.7,1020.9,-25.3,0.0,1.1,E,Dongsi,8.0
10,9,42.0,2.0,33.0,500.0,22.0,9.2,1014.6,6.6,0.0,1.8,WSW,Dongsi,42.0
11,9,37.0,36.0,67.0,1400.0,2.0,5.2,1029.0,-8.3,0.0,1.0,E,Wanliu,19.0
9,3,69.0,2.0,22.0,1000.0,52.0,21.4,1009.8,19.3,0.0,1.3,ENE,Dongsi,69.0
10,20,123.0,2.0,88.0,1000.0,3.0,6.7,1024.5,-1.0,0.0,0.2,SW,Wanshouxigong,61.0
12,12,173.0,87.0,90.0,,4.9266,9.1,1013.1,-3.5,0.0,2.1,NE,Guanyuan,216.0
4,7,73.0,2.0,26.0,300.0,59.0,14.4,1012.0,-1.3,0.0,1.4,ENE,Wanshouxigong,22.0
9,0,144.0,3.0,126.0,2100.0,4.0,18.1,1005.8,16.6,0.0,0.2,ENE,Dongsi,136.0
1,14,27.0,30.0,28.0,400.0,45.0,7.4,1016.9,-20.2,0.0,2.4,NW,Changping,26.0
8,4,63.0,3.0,90.0,300.0,2.0,21.4,1004.9,17.8,0.0,0.9,NE,Guanyuan,23.0
6,16,186.0,13.0,79.0,2399.0,13.0,21.7,996.7,20.0,0.0,1.4,N,Guanyuan,196.0
9,1,20.0,4.0,88.0,500.0,6.0,15.9,1003.8,11.9,0.0,0.7,NE,Wanliu,20.0
4,12,70.0,3.0,21.0,400.0,83.0,21.3,1010.5,-11.6,0.0,4.3,SW,Guanyuan,23.0
1,14,76.0,26.0,58.0,1200.0,53.0,5.5,1020.2,-22.7,0.0,1.3,W,Wanliu,74.0
3,2,34.0,12.0,54.0,800.0,25.0,1.5,1023.3,-21.0,0.0,4.3,N,Wanliu,16.0
1,8,102.0,26.0,74.0,3400.0,4.0,-13.9,1022.1,-21.9,0.0,1.3,NNW,Changping,74.0
2,9,9.0,2.0,29.0,600.0,18.0,-4.3,1017.8,-17.8,0.0,1.3,S,Huairou,9.0
10,17,42.0,2.0,53.0,1400.0,3.0,14.7,1009.5,13.7,1.6,1.6,ENE,Tiantan,42.0
12,19,105.0,2.0,13.0,300.0,55.0,-1.0,1022.0,-23.7,0.0,4.6,WNW,Dongsi,8.0
9,5,60.0,7.0,53.0,1100.0,2.0,14.9,1011.9,14.9,0.0,0.0,ENE,Wanliu,60.0
11,20,298.0,16.0,73.0,3700.0,4.0,8.4,1011.0,5.3,0.0,0.6,NE,Nongzhanguan,172.0
1,3,144.0,62.0,77.0,4800.0,9.0,-7.8,1023.7,-17.2,0.0,0.6,NNE,Changping,108.0
2,7,15.0,65.0,29.0,800.0,40.0,-9.1,1028.6,-21.5,0.0,1.9,N,Changping,16.0
5,23,60.0,14.0,55.0,700.0,89.0,23.7,996.1,13.3,0.0,1.6,NE,Wanliu,57.0
11,7,35.0,2.0,53.0,800.0,2.0,3.8,1017.9,0.5,0.0,0.6,NE,Gucheng,35.0
2,9,28.0,9.0,33.0,700.0,41.0,1.2,1023.5,-17.2,0.0,1.4,E,Gucheng,8.0
6,20,175.0,33.4152,98.3387,1700.0,144.0,23.7,1002.2,19.0,0.0,0.7,SSW,Wanliu,122.0
12,14,20.0,5.0,18.0,300.0,51.0,9.7,1023.4,-12.2,0.0,3.8,NW,Changping,12.0
5,16,42.0,3.0,48.0,3400.0,37.0,8.8,1009.7,8.0,3.5,2.0,ENE,Nongzhanguan,42.0
10,6,99.0,2.0,39.0,1200.0,1.0,12.8,1008.9,11.9,0.0,1.0,ESE,Tiantan,83.0
8,15,48.0,2.0,9.0,800.0,150.0,26.7,1002.7,17.2,0.0,2.4,E,Dingling,42.0
1,7,18.0,3.0,28.0,500.0,39.0,-6.7,1027.9,-23.5,0.0,1.0,ESE,Guanyuan,7.0
1,7,476.0,112.0,62.0,2700.0,10.0,-2.8,1018.0,-11.1,0.0,1.8,NE,Nongzhanguan,403.0
7,17,117.0,10.0,20.0,1000.0,251.0,32.6,1004.2,18.0,0.0,2.6,SSW,Nongzhanguan,113.0
11,23,122.0,12.0,82.0,1000.0,2.0,0.7,1026.5,-3.8,0.0,0.7,SW,Guanyuan,76.0
1,1,11.0,4.0,6.0,300.0,66.0,-4.0,1028.0,-23.7,0.0,1.7,NNW,Dingling,8.0
2,18,97.0,11.0,76.0,100.0,69.0,13.1,1008.6,-8.8,0.0,3.0,WSW,Huairou,59.0
1,5,32.0,17.0,33.0,700.0,30.0,-4.475,1030.5,-14.6,0.0,1.6,NE,Tiantan,32.0
6,15,94.0,3.0,3.0,400.0,33.0,22.0,993.4,20.5,4.7,1.5,W,Huairou,20.0
5,9,224.0,20.0,110.0,1400.0,54.0,25.4,1003.1,14.5,0.0,1.2,N,Wanshouxigong,116.0
10,17,326.0,34.0,146.0,2900.0,144.0,19.8,1012.2,13.3,0.0,0.7,NE,Aotizhongxin,326.0
7,14,187.0,5.0,27.0,1200.0,175.0,29.6,993.2,21.5,0.0,0.8,SSW,Wanshouxigong,187.0
11,15,71.0,7.0,50.0,600.0,37.0,7.2,1021.9,-11.1,0.0,1.8,SW,Huairou,38.0
5,16,251.0,52.0,48.0,,207.774,27.0,994.1,14.7,0.0,1.3,NE,Guanyuan,109.0
6,7,108.0,19.0,41.0,900.0,64.0,23.4,1002.2,13.0,0.0,1.0,W,Dongsi,87.0
11,1,205.0,7.0,122.0,2100.0,2.0,2.6,1014.0,2.0,0.0,0.1,E,Aotizhongxin,183.0
6,17,30.0,2.0,32.0,400.0,59.0,32.7,999.2,6.8,0.0,1.2,NNW,Guanyuan,25.0
3,3,104.0,14.0,61.0,,,3.9,1013.2,0.4,0.0,3.1,ESE,Dingling,118.0
6,12,205.0,16.0,46.0,2300.0,125.0,25.8,1000.6,18.0,0.0,3.3,ESE,Dongsi,205.0
11,6,14.0,6.0,16.0,200.0,36.0,7.9,1025.0,-9.5,0.0,1.7,N,Wanliu,7.0
3,20,220.0,31.0,126.0,1700.0,8.0,6.1,1005.4,-1.6,0.0,2.4,N,Dongsi,208.0
3,18,194.0,14.0,55.0,1000.0,94.0,17.2,1005.9,7.5,0.0,1.2,S,Gucheng,73.0
10,11,380.0,56.0,109.0,2700.0,33.0,21.2,1013.7,13.4,0.0,2.6,ENE,Wanshouxigong,323.0
11,11,20.0,4.0,29.0,500.0,25.0,7.9,1023.7,-4.2,0.0,2.5,NE,Dongsi,20.0
8,8,106.0,2.0,49.0,1100.0,38.0,28.5,1003.8,24.3,0.0,1.1,SSW,Wanshouxigong,106.0
11,14,73.0,8.0,51.0,1100.0,14.0,3.8,1022.1,-0.2,0.0,2.0,SW,Aotizhongxin,69.0
4,1,20.0,4.0,25.0,400.0,71.5428,5.3,1018.2,-10.9,0.0,2.6,NW,Dongsi,14.0
10,10,58.0,8.0,54.0,1000.0,10.0,11.8,1020.6,-0.7,0.0,1.7,ENE,Changping,40.0
7,23,158.0,2.0,48.0,900.0,48.0,27.7,995.7,23.5,0.0,2.0,N,Gucheng,40.0
6,18,88.0,7.0,19.0,1100.0,213.0,24.3,1004.3,12.6,0.0,5.2,WNW,Shunyi,74.0
2,16,44.0,3.0,17.0,300.0,52.0,4.9,1018.1,-22.2,0.0,5.3,WNW,Changping,6.0
3,8,21.0,20.0,61.0,3000.0,33.0,2.8,1024.6,-22.1,0.0,1.8,E,Gucheng,11.0
3,21,65.0,2.0,22.0,300.0,56.0,5.1,1014.5,-14.4,0.0,1.6,NNW,Dingling,26.0
1,8,101.0,62.0,77.0,1900.0,1.0,-3.8,1019.6,-15.2,0.0,1.2,NE,Aotizhongxin,74.0
11,0,159.0,15.0,67.0,2700.0,4.0,6.0,1011.9,-0.3,0.0,1.9,N,Gucheng,117.0
7,6,186.0,4.0,31.0,1400.0,55.0,24.1,1002.8,22.4,0.0,0.5,ENE,Guanyuan,186.0
5,13,82.0,12.0,57.0,1000.0,21.0,20.2,1001.3,16.2,0.0,1.3,WNW,Wanliu,81.0
4,7,242.0,19.0,109.0,1500.0,3.0,14.4,1009.1,7.0,0.0,2.1,NNE,Dongsi,122.0
10,14,19.0,4.0,10.0,200.0,58.0,5.8,1031.7,-18.9,0.0,3.8,NW,Nongzhanguan,6.0
3,9,11.0,13.0,24.0,400.0,57.0,5.4,1018.5,-17.8,0.0,3.1,WNW,Wanshouxigong,11.0
6,11,83.0,2.0,43.0,1100.0,122.0,29.0,998.6,19.6,0.0,1.2,E,Wanshouxigong,63.0
3,3,237.0,27.0,112.0,2100.0,3.0,0.6,1008.5,-5.0,0.0,0.0,N,Gucheng,128.0
12,7,50.0,11.0,47.0,1000.0,3.0,-4.0,1031.0,-13.2,0.0,1.0,NNE,Dingling,50.0
2,15,200.0,57.0,113.0,2800.0,19.0,5.1,1024.9,-4.5,0.0,1.1,N,Wanliu,200.0
5,5,101.0,7.0,59.0,600.0,14.0,12.3,1001.9,5.0,0.0,1.3,NNE,Shunyi,68.0
8,9,92.0,2.0,35.0,900.0,91.0,29.9,1003.6,23.8,0.0,2.4,SSW,Aotizhongxin,92.0
2,3,44.0,25.0,78.0,1400.0,2.0,1.0,1024.0,-11.8,0.0,1.3,ENE,Aotizhongxin,42.0
6,21,65.0,2.0,81.0,500.0,46.0,23.8,1003.0,15.0,0.0,0.2,N,Shunyi,27.0
4,3,15.0,2.0,5.0,200.0,103.0,6.0,1020.7,-3.4,0.0,3.9,NNE,Huairou,12.0
4,14,123.0,16.0,33.0,600.0,102.0,16.4,1004.0,-3.7,0.0,3.7,WSW,Nongzhanguan,53.0
7,3,5.0,3.0,9.0,,,23.3,991.3,19.7,0.0,2.0,NNE,Dingling,17.0
7,21,164.0,2.0,23.0,1000.0,82.0,23.9,998.7,21.4,0.0,1.7,SSE,Tiantan,118.0
11,23,402.0,29.0,126.0,6000.0,4.0,-2.7,1023.3,-3.0,0.0,0.7,WSW,Dongsi,402.0
10,14,27.0,4.0,30.0,500.0,70.0,26.5,1014.6,0.2,0.0,1.7,WNW,Guanyuan,21.0
7,19,67.0,3.0,28.0,700.0,78.0,22.0,1000.1,14.9,0.0,2.2,E,Huairou,44.0
11,9,139.0,3.0,73.0,2600.0,4.0,3.6,1024.3,2.0,0.0,1.5,ENE,Aotizhongxin,139.0
4,3,45.0,12.0,24.0,800.0,68.0,8.4,1005.7,1.1,0.0,1.3,SSW,Wanshouxigong,72.0
2,15,12.0,2.0,7.0,300.0,88.0,6.2,1024.6,-23.3,0.0,2.7,WSW,Nongzhanguan,12.0
12,6,152.0,21.0,93.0,4500.0,4.0,-5.2,1018.6,-6.7,0.0,0.1,NE,Wanliu,145.0
2,18,5.0,11.0,19.0,400.0,71.0,4.3,1021.8,-12.6,0.0,1.3,NE,Aotizhongxin,17.0
11,22,353.0,55.0,124.8224,,1.2852,2.3,1014.3,-0.6,0.0,0.7,ESE,Wanliu,344.0
11,18,177.0,2.0,18.0,300.0,36.0,1.5,1019.0,-23.2,0.0,2.4,NNW,Wanliu,18.0
5,7,93.0,5.0,65.0,500.0,19.0,16.1,990.8,8.1,0.0,0.9,E,Aotizhongxin,29.0
10,22,172.0,14.0,154.0,1500.0,6.0,13.2,1014.5,8.1,0.0,0.9,ESE,Dongsi,105.0
4,16,111.0,2.0,15.0,300.0,116.0,22.8,1009.4,-5.2,0.0,3.1,SSW,Guanyuan,53.0
9,6,43.0,5.0,60.0,800.0,2.0,17.4,1012.4,17.4,0.0,0.9,NE,Wanliu,43.0
5,5,93.0,45.0,,2300.0,53.0,23.1,1001.7,12.7,0.0,0.5,NW,Dongsi,93.0
1,16,51.0,9.0,8.0,500.0,87.0,6.7,1016.1,-22.9,0.0,4.2,WNW,Dingling,30.0
2,11,15.0,5.0,6.0,300.0,77.0,-0.3,1036.1,-20.6,0.0,4.4,NW,Aotizhongxin,9.0
9,10,78.0,6.0,70.0,500.0,,29.8,999.8,16.6,0.0,1.2,SSW,Aotizhongxin,42.0
6,14,116.0,12.0,38.0,900.0,184.0,28.9,997.7,15.8,0.0,3.1,S,Wanshouxigong,86.0
8,6,20.0,2.0,30.0,400.0,29.0,21.9,1006.2,16.6,0.0,1.2,NNE,Dongsi,11.0
12,7,107.0,12.0,62.0,2300.0,5.0,-3.1,1023.2,-7.8,0.0,0.8,NNW,Gucheng,61.0
11,13,18.0,5.0,9.0,500.0,64.0,6.2,1016.9,-21.2,0.0,2.7,W,Gucheng,7.0
4,16,113.0,17.0,84.0,700.0,104.0,20.0,1012.5,2.8,0.0,4.7,SE,Shunyi,72.0
6,15,13.0,2.0,19.0,300.0,109.0,35.3,986.9,11.0,0.0,2.7,NW,Changping,13.0
11,17,151.0,22.0,96.0,1600.0,2.0,1.1,1016.2,-11.7,0.0,1.1,NE,Huairou,95.0
7,12,118.0,3.0,30.0,600.0,74.0,29.7,992.1,25.5,0.0,0.8,WSW,Huairou,46.0
8,22,77.0,6.0,62.0,700.0,129.0,29.0,1001.0,14.8,0.0,2.1,WSW,Aotizhongxin,23.0
3,0,73.0,59.0,60.0,900.0,24.0,3.5,1019.5,-7.6,0.0,2.4,E,Nongzhanguan,55.0
4,5,55.0,2.0,52.0,500.0,23.0,5.8,1008.2,2.4,0.0,1.1,NNE,Shunyi,55.0
1,13,62.0,5.0,13.0,700.0,54.0,-13.6,1034.4,-33.5,0.0,3.8,NW,Changping,10.0
2,2,139.0,31.0,86.0,3000.0,12.0,-1.5,1024.6,-4.3,0.0,2.7,ESE,Nongzhanguan,98.0
6,13,38.0,4.0,18.0,400.0,128.0,24.5,1005.5,13.7,0.0,1.4,ESE,Aotizhongxin,22.0
5,1,275.0,41.0,165.0,1700.0,3.0,16.0,999.4,11.8,0.0,1.2,NNE,Guanyuan,128.0
5,2,105.0,2.0,15.0,300.0,81.0,18.4,998.0,2.2,0.0,1.6,NE,Wanliu,35.0
